food_item,weather,day_time,price
Beef Biryani,Cloudy,Dinner,233
Chicken Biryani,Cloudy,Dinner,214
Kacchi Biryani,Cloudy,Dinner,298
Tehari,Cloudy,Dinner,188
Khichuri,Cloudy,Dinner,152
Mutton Curry,Cloudy,Dinner,275
Chicken Curry,Cloudy,Dinner,206
Beef Curry,Cloudy,Dinner,218
Fish Curry,Cloudy,Dinner,203
Dal,Cloudy,Dinner,100
Mixed Vegetables,Cloudy,Dinner,125
Butter Naan,Cloudy,Dinner,43
Garlic Naan,Cloudy,Dinner,63
Chapati,Cloudy,Dinner,36
Grilled Chicken,Cloudy,Dinner,254
Tandoori Chicken,Cloudy,Dinner,266
Chicken Wings,Cloudy,Dinner,237
BBQ Platter,Cloudy,Dinner,433
Steak,Cloudy,Dinner,395
Soup,Cloudy,Dinner,107
Tomato Soup,Cloudy,Dinner,124
Chicken Corn Soup,Cloudy,Dinner,147
Hot & Sour Soup,Cloudy,Dinner,134
Cold Coffee,Cloudy,Lunch,124
Coffee,Cloudy,Breakfast,68
Cappuccino,Cloudy,Breakfast,107
Latte,Cloudy,Breakfast,127
Espresso,Cloudy,Breakfast,101
Tea,Cloudy,Breakfast,40
Milk Tea,Cloudy,Breakfast,52
Green Tea,Cloudy,Breakfast,62
Hot Chocolate,Cloudy,Breakfast,128
Lemonade,Cloudy,Lunch,90
Orange Juice,Cloudy,Breakfast,94
Mango Juice,Cloudy,Lunch,115
Apple Juice,Cloudy,Lunch,108
Watermelon Juice,Cloudy,Lunch,94
Milkshake,Cloudy,Dinner,146
Chocolate Milkshake,Cloudy,Dinner,162
Vanilla Milkshake,Cloudy,Dinner,157
Faluda,Cloudy,Dinner,159
Ice Cream,Cloudy,Dinner,106
Brownie,Cloudy,Dinner,138
Cheesecake,Cloudy,Dinner,188
Chocolate Cake,Cloudy,Dinner,173
Red Velvet Cake,Cloudy,Dinner,184
Donut,Cloudy,Breakfast,63
Muffin,Cloudy,Breakfast,78
Paratha & Egg,Cold,Breakfast,84
French Toast,Cold,Breakfast,113
Pancakes,Cold,Breakfast,155
Waffles,Cold,Breakfast,154
Omelette,Cold,Breakfast,104
Scrambled Eggs,Cold,Breakfast,99
Boiled Egg Set,Cold,Breakfast,77
Porridge,Cold,Breakfast,99
Fruit Bowl,Cold,Breakfast,126
Yogurt Parfait,Cold,Breakfast,134
Toast & Jam,Cold,Breakfast,75
Butter Toast,Cold,Breakfast,65
Croissant,Cold,Breakfast,100
Breakfast Burrito,Cold,Breakfast,173
Hash Browns,Cold,Lunch,92
Samosa,Cold,Breakfast,40
Singara,Cold,Breakfast,28
Vegetable Roll,Cold,Breakfast,45
Chicken Sandwich,Cold,Lunch,162
Club Sandwich,Cold,Lunch,163
Grilled Cheese Sandwich,Cold,Lunch,131
Chicken Burger,Cold,Lunch,166
Beef Burger,Cold,Lunch,193
Veg Burger,Cold,Lunch,144
Chicken Shawarma,Cold,Lunch,180
Beef Shawarma,Cold,Lunch,184
Chicken Wrap,Cold,Dinner,175
Caesar Salad,Cold,Lunch,185
Greek Salad,Cold,Lunch,197
Chicken Caesar Salad,Cold,Lunch,227
Fried Rice,Cold,Lunch,189
Chicken Fried Rice,Cold,Lunch,224
Egg Fried Rice,Cold,Lunch,184
Vegetable Fried Rice,Cold,Lunch,178
Noodles,Cold,Lunch,177
Chicken Noodles,Cold,Lunch,207
Vegetable Noodles,Cold,Lunch,165
Pasta Alfredo,Cold,Lunch,229
Spicy Pasta,Cold,Lunch,222
Mac & Cheese,Cold,Lunch,214
Chicken Pizza,Cold,Dinner,278
Beef Pizza,Cold,Dinner,306
Veg Pizza,Cold,Breakfast,235
Margherita Pizza,Cold,Dinner,256
BBQ Chicken Pizza,Cold,Dinner,318
Beef Biryani,Cold,Dinner,237
Chicken Biryani,Cold,Dinner,218
Kacchi Biryani,Cold,Dinner,300
Tehari,Cold,Dinner,185
Khichuri,Cold,Dinner,171
Mutton Curry,Cold,Dinner,278
Chicken Curry,Cold,Dinner,205
Beef Curry,Cold,Dinner,223
Fish Curry,Cold,Dinner,205
Dal,Cold,Lunch,99
Mixed Vegetables,Cold,Dinner,134
Butter Naan,Cold,Dinner,51
Garlic Naan,Cold,Dinner,65
Chapati,Cold,Lunch,34
Grilled Chicken,Cold,Dinner,263
Tandoori Chicken,Cold,Dinner,276
Chicken Wings,Cold,Dinner,245
BBQ Platter,Cold,Dinner,437
Steak,Cold,Dinner,393
Soup,Cold,Dinner,116
Tomato Soup,Cold,Dinner,136
Chicken Corn Soup,Cold,Dinner,160
Hot & Sour Soup,Cold,Dinner,150
Cold Coffee,Cold,Lunch,140
Coffee,Cold,Breakfast,88
Cappuccino,Cold,Breakfast,125
Latte,Cold,Breakfast,133
Espresso,Cold,Lunch,113
Tea,Cold,Breakfast,60
Milk Tea,Cold,Breakfast,60
Green Tea,Cold,Breakfast,73
Hot Chocolate,Cold,Breakfast,143
Lemonade,Cold,Lunch,90
Orange Juice,Cold,Breakfast,107
Mango Juice,Cold,Lunch,115
Apple Juice,Cold,Lunch,113
Watermelon Juice,Cold,Lunch,107
Milkshake,Cold,Dinner,163
Chocolate Milkshake,Cold,Dinner,168
Vanilla Milkshake,Cold,Dinner,163
Faluda,Cold,Dinner,164
Ice Cream,Cold,Dinner,111
Brownie,Cold,Dinner,137
Cheesecake,Cold,Dinner,197
Chocolate Cake,Cold,Dinner,184
Red Velvet Cake,Cold,Dinner,191
Donut,Cold,Lunch,74
Muffin,Cold,Breakfast,84
Paratha & Egg,Hot,Breakfast,72
French Toast,Hot,Breakfast,103
Pancakes,Hot,Breakfast,137
Waffles,Hot,Breakfast,145
Omelette,Hot,Breakfast,86
Scrambled Eggs,Hot,Breakfast,87
Boiled Egg Set,Hot,Breakfast,61
Porridge,Hot,Breakfast,82
Fruit Bowl,Hot,Lunch,133
Yogurt Parfait,Hot,Breakfast,130
Toast & Jam,Hot,Breakfast,61
Butter Toast,Hot,Breakfast,48
Croissant,Hot,Breakfast,83
Breakfast Burrito,Hot,Breakfast,157
Hash Browns,Hot,Breakfast,68
Samosa,Hot,Breakfast,18
Singara,Hot,Breakfast,21
Vegetable Roll,Hot,Breakfast,26
Chicken Sandwich,Hot,Lunch,150
Club Sandwich,Hot,Lunch,150
Grilled Cheese Sandwich,Hot,Dinner,127
Chicken Burger,Hot,Lunch,155
Beef Burger,Hot,Lunch,181
Veg Burger,Hot,Lunch,130
Chicken Shawarma,Hot,Lunch,158
Beef Shawarma,Hot,Lunch,171
Chicken Wrap,Hot,Lunch,155
Caesar Salad,Hot,Lunch,174
Greek Salad,Hot,Lunch,179
Chicken Caesar Salad,Hot,Lunch,216
Fried Rice,Hot,Lunch,177
Chicken Fried Rice,Hot,Lunch,206
Egg Fried Rice,Hot,Breakfast,168
Vegetable Fried Rice,Hot,Lunch,167
Noodles,Hot,Lunch,166
Chicken Noodles,Hot,Lunch,185
Vegetable Noodles,Hot,Lunch,148
Pasta Alfredo,Hot,Lunch,219
Spicy Pasta,Hot,Lunch,207
Mac & Cheese,Hot,Lunch,204
Chicken Pizza,Hot,Dinner,268
Beef Pizza,Hot,Dinner,293
Veg Pizza,Hot,Dinner,238
Margherita Pizza,Hot,Dinner,248
BBQ Chicken Pizza,Hot,Dinner,303
Beef Biryani,Hot,Dinner,232
Chicken Biryani,Hot,Dinner,204
Kacchi Biryani,Hot,Dinner,287
Tehari,Hot,Dinner,179
Khichuri,Hot,Dinner,145
Mutton Curry,Hot,Dinner,271
Chicken Curry,Hot,Dinner,202
Beef Curry,Hot,Dinner,222
Fish Curry,Hot,Dinner,185
Dal,Hot,Dinner,95
Mixed Vegetables,Hot,Dinner,110
Butter Naan,Hot,Dinner,45
Garlic Naan,Hot,Dinner,47
Chapati,Hot,Dinner,21
Grilled Chicken,Hot,Dinner,251
Tandoori Chicken,Hot,Dinner,271
Chicken Wings,Hot,Dinner,232
BBQ Platter,Hot,Dinner,429
Steak,Hot,Dinner,380
Soup,Hot,Dinner,100
Tomato Soup,Hot,Dinner,115
Chicken Corn Soup,Hot,Dinner,135
Hot & Sour Soup,Hot,Dinner,129
Cold Coffee,Hot,Lunch,136
Coffee,Hot,Breakfast,62
Cappuccino,Hot,Breakfast,101
Latte,Hot,Breakfast,120
Espresso,Hot,Breakfast,94
Tea,Hot,Breakfast,41
Milk Tea,Hot,Breakfast,45
Green Tea,Hot,Breakfast,53
Hot Chocolate,Hot,Breakfast,121
Lemonade,Hot,Lunch,82
Orange Juice,Hot,Dinner,108
Mango Juice,Hot,Lunch,113
Apple Juice,Hot,Lunch,110
Watermelon Juice,Hot,Lunch,91
Milkshake,Hot,Dinner,148
Chocolate Milkshake,Hot,Dinner,154
Vanilla Milkshake,Hot,Dinner,164
Faluda,Hot,Dinner,164
Ice Cream,Hot,Dinner,104
Brownie,Hot,Dinner,123
Cheesecake,Hot,Dinner,181
Chocolate Cake,Hot,Dinner,165
Red Velvet Cake,Hot,Dinner,179
Donut,Hot,Breakfast,61
Muffin,Hot,Breakfast,76
Paratha & Egg,Sunny,Breakfast,81
French Toast,Sunny,Breakfast,107
Pancakes,Sunny,Breakfast,143
Waffles,Sunny,Breakfast,146
Omelette,Sunny,Breakfast,89
Scrambled Eggs,Sunny,Breakfast,98
Boiled Egg Set,Sunny,Breakfast,66
Porridge,Sunny,Breakfast,86
Fruit Bowl,Sunny,Breakfast,118
Yogurt Parfait,Sunny,Breakfast,129
Toast & Jam,Sunny,Breakfast,59
Butter Toast,Sunny,Breakfast,61
Croissant,Sunny,Breakfast,90
Breakfast Burrito,Sunny,Breakfast,164
Hash Browns,Sunny,Breakfast,74
Samosa,Sunny,Breakfast,24
Singara,Sunny,Breakfast,21
Vegetable Roll,Sunny,Breakfast,30
Chicken Sandwich,Sunny,Lunch,154
Club Sandwich,Sunny,Lunch,165
Grilled Cheese Sandwich,Sunny,Lunch,131
Chicken Burger,Sunny,Lunch,157
Beef Burger,Sunny,Lunch,180
Veg Burger,Sunny,Lunch,133
Chicken Shawarma,Sunny,Lunch,167
Beef Shawarma,Sunny,Lunch,178
Chicken Wrap,Sunny,Lunch,154
Caesar Salad,Sunny,Lunch,181
Greek Salad,Sunny,Lunch,184
Chicken Caesar Salad,Sunny,Lunch,209
Fried Rice,Sunny,Lunch,183
Chicken Fried Rice,Sunny,Lunch,210
Egg Fried Rice,Sunny,Lunch,172
Vegetable Fried Rice,Sunny,Lunch,167
Noodles,Sunny,Lunch,167
Chicken Noodles,Sunny,Breakfast,193
Vegetable Noodles,Sunny,Lunch,152
Pasta Alfredo,Sunny,Lunch,230
Spicy Pasta,Sunny,Lunch,213
Mac & Cheese,Sunny,Lunch,206
Chicken Pizza,Sunny,Dinner,267
Beef Pizza,Sunny,Dinner,298
Veg Pizza,Sunny,Dinner,235
Margherita Pizza,Sunny,Dinner,249
BBQ Chicken Pizza,Sunny,Dinner,308
Beef Biryani,Sunny,Dinner,226
Chicken Biryani,Sunny,Dinner,208
Kacchi Biryani,Sunny,Dinner,290
Tehari,Sunny,Dinner,181
Khichuri,Sunny,Dinner,150
Mutton Curry,Sunny,Dinner,276
Chicken Curry,Sunny,Dinner,200
Beef Curry,Sunny,Breakfast,210
Fish Curry,Sunny,Dinner,193
Dal,Sunny,Dinner,106
Mixed Vegetables,Sunny,Dinner,120
Butter Naan,Sunny,Dinner,51
Garlic Naan,Sunny,Breakfast,47
Chapati,Sunny,Dinner,34
Grilled Chicken,Sunny,Dinner,245
Tandoori Chicken,Sunny,Dinner,264
Chicken Wings,Sunny,Dinner,234
BBQ Platter,Sunny,Dinner,436
Steak,Sunny,Dinner,388
Soup,Sunny,Dinner,109
Tomato Soup,Sunny,Dinner,119
Chicken Corn Soup,Sunny,Dinner,143
Hot & Sour Soup,Sunny,Lunch,132
Cold Coffee,Sunny,Lunch,121
Coffee,Sunny,Breakfast,65
Cappuccino,Sunny,Breakfast,112
Latte,Sunny,Breakfast,121
Espresso,Sunny,Breakfast,95
Tea,Sunny,Breakfast,34
Milk Tea,Sunny,Breakfast,44
Green Tea,Sunny,Breakfast,66
Hot Chocolate,Sunny,Breakfast,133
Lemonade,Sunny,Lunch,80
Orange Juice,Sunny,Breakfast,91
Mango Juice,Sunny,Lunch,108
Apple Juice,Sunny,Lunch,103
Watermelon Juice,Sunny,Lunch,90
Milkshake,Sunny,Dinner,151
Chocolate Milkshake,Sunny,Breakfast,146
Vanilla Milkshake,Sunny,Dinner,149
Faluda,Sunny,Dinner,161
Ice Cream,Sunny,Dinner,97
Brownie,Sunny,Dinner,127
Cheesecake,Sunny,Dinner,185
Chocolate Cake,Sunny,Dinner,172
Red Velvet Cake,Sunny,Dinner,190
Donut,Sunny,Breakfast,63
Muffin,Sunny,Breakfast,74
Paratha & Egg,Rainy,Breakfast,85
French Toast,Rainy,Breakfast,122
Pancakes,Rainy,Breakfast,149
Waffles,Rainy,Breakfast,159
Omelette,Rainy,Breakfast,98
Scrambled Eggs,Rainy,Breakfast,102
Boiled Egg Set,Rainy,Breakfast,70
Porridge,Rainy,Breakfast,93
Fruit Bowl,Rainy,Breakfast,121
Yogurt Parfait,Rainy,Breakfast,134
Toast & Jam,Rainy,Breakfast,67
Butter Toast,Rainy,Breakfast,67
Croissant,Rainy,Breakfast,92
Breakfast Burrito,Rainy,Breakfast,169
Hash Browns,Rainy,Breakfast,76
Samosa,Rainy,Breakfast,38
Singara,Rainy,Breakfast,38
Vegetable Roll,Rainy,Breakfast,49
Chicken Sandwich,Rainy,Lunch,157
Club Sandwich,Rainy,Lunch,170
Grilled Cheese Sandwich,Rainy,Lunch,136
Chicken Burger,Rainy,Breakfast,161
Beef Burger,Rainy,Lunch,196
Veg Burger,Rainy,Lunch,142
Chicken Shawarma,Rainy,Lunch,173
Beef Shawarma,Rainy,Lunch,182
Chicken Wrap,Rainy,Lunch,160
Caesar Salad,Rainy,Lunch,184
Greek Salad,Rainy,Lunch,186
Chicken Caesar Salad,Rainy,Lunch,220
Fried Rice,Rainy,Lunch,186
Chicken Fried Rice,Rainy,Lunch,225
Egg Fried Rice,Rainy,Lunch,177
Vegetable Fried Rice,Rainy,Lunch,177
Noodles,Rainy,Lunch,170
Chicken Noodles,Rainy,Lunch,199
Vegetable Noodles,Rainy,Lunch,162
Pasta Alfredo,Rainy,Lunch,235
Spicy Pasta,Rainy,Lunch,218
Mac & Cheese,Rainy,Lunch,205
Chicken Pizza,Rainy,Dinner,277
Beef Pizza,Rainy,Dinner,303
Veg Pizza,Rainy,Lunch,241
Margherita Pizza,Rainy,Dinner,253
BBQ Chicken Pizza,Rainy,Dinner,313
Beef Biryani,Rainy,Dinner,236
Chicken Biryani,Rainy,Dinner,217
Kacchi Biryani,Rainy,Dinner,299
Tehari,Rainy,Dinner,188
Khichuri,Rainy,Dinner,174
Mutton Curry,Rainy,Dinner,273
Chicken Curry,Rainy,Dinner,210
Beef Curry,Rainy,Dinner,231
Fish Curry,Rainy,Breakfast,197
Dal,Rainy,Dinner,112
Mixed Vegetables,Rainy,Dinner,123
Butter Naan,Rainy,Dinner,55
Garlic Naan,Rainy,Dinner,63
Chapati,Rainy,Dinner,38
Grilled Chicken,Rainy,Breakfast,241
Tandoori Chicken,Rainy,Dinner,274
Chicken Wings,Rainy,Dinner,234
BBQ Platter,Rainy,Dinner,435
Steak,Rainy,Dinner,398
Soup,Rainy,Dinner,120
Tomato Soup,Rainy,Dinner,127
Chicken Corn Soup,Rainy,Dinner,147
Hot & Sour Soup,Rainy,Dinner,147
Cold Coffee,Rainy,Lunch,132
Coffee,Rainy,Breakfast,77
Cappuccino,Rainy,Breakfast,115
Latte,Rainy,Breakfast,125
Espresso,Rainy,Breakfast,97
Tea,Rainy,Breakfast,55
Milk Tea,Rainy,Breakfast,64
Green Tea,Rainy,Breakfast,67
Hot Chocolate,Rainy,Breakfast,133
Lemonade,Rainy,Lunch,94
Orange Juice,Rainy,Breakfast,104
Mango Juice,Rainy,Lunch,116
Apple Juice,Rainy,Lunch,114
Watermelon Juice,Rainy,Lunch,103
Milkshake,Rainy,Dinner,162
Chocolate Milkshake,Rainy,Dinner,164
Vanilla Milkshake,Rainy,Dinner,165
Faluda,Rainy,Dinner,168
Ice Cream,Rainy,Dinner,101
Brownie,Rainy,Dinner,140
Cheesecake,Rainy,Dinner,201
Chocolate Cake,Rainy,Dinner,173
Red Velvet Cake,Rainy,Dinner,192
Donut,Rainy,Breakfast,74
Muffin,Rainy,Breakfast,75
Paratha & Egg,Cloudy,Breakfast,85
French Toast,Cloudy,Breakfast,108
Pancakes,Cloudy,Breakfast,141
Waffles,Cloudy,Breakfast,158
Omelette,Cloudy,Breakfast,94
Scrambled Eggs,Cloudy,Breakfast,103
Boiled Egg Set,Cloudy,Breakfast,78
Porridge,Cloudy,Breakfast,89
Fruit Bowl,Cloudy,Breakfast,128
Yogurt Parfait,Cloudy,Breakfast,131
Toast & Jam,Cloudy,Breakfast,67
Butter Toast,Cloudy,Breakfast,55
Croissant,Cloudy,Breakfast,88
Breakfast Burrito,Cloudy,Breakfast,159
Hash Browns,Cloudy,Breakfast,72
Samosa,Cloudy,Breakfast,31
Singara,Cloudy,Breakfast,28
Vegetable Roll,Cloudy,Breakfast,34
Chicken Sandwich,Cloudy,Lunch,147
Club Sandwich,Cloudy,Lunch,166
Grilled Cheese Sandwich,Cloudy,Lunch,124
Chicken Burger,Cloudy,Lunch,163
Beef Burger,Cloudy,Lunch,192
Veg Burger,Cloudy,Lunch,143
Chicken Shawarma,Cloudy,Lunch,168
Beef Shawarma,Cloudy,Lunch,183
Chicken Wrap,Cloudy,Lunch,153
Caesar Salad,Cloudy,Lunch,176
Greek Salad,Cloudy,Lunch,186
Chicken Caesar Salad,Cloudy,Lunch,222
Fried Rice,Cloudy,Lunch,185
Chicken Fried Rice,Cloudy,Lunch,211
Egg Fried Rice,Cloudy,Lunch,174
Vegetable Fried Rice,Cloudy,Lunch,161
Noodles,Cloudy,Lunch,173
Chicken Noodles,Cloudy,Lunch,192
Vegetable Noodles,Cloudy,Lunch,151
Pasta Alfredo,Cloudy,Lunch,231
Spicy Pasta,Cloudy,Lunch,214
Mac & Cheese,Cloudy,Lunch,210
Chicken Pizza,Cloudy,Dinner,273
Beef Pizza,Cloudy,Dinner,298
Veg Pizza,Cloudy,Dinner,238
Margherita Pizza,Cloudy,Dinner,253
BBQ Chicken Pizza,Cloudy,Dinner,313
Beef Biryani,Cloudy,Dinner,227
Chicken Biryani,Cloudy,Dinner,213
Kacchi Biryani,Cloudy,Dinner,289
Tehari,Cloudy,Dinner,187
Khichuri,Cloudy,Dinner,161
Mutton Curry,Cloudy,Dinner,275
Chicken Curry,Cloudy,Dinner,198
Beef Curry,Cloudy,Dinner,227
Fish Curry,Cloudy,Dinner,196
Dal,Cloudy,Breakfast,95
Mixed Vegetables,Cloudy,Dinner,117
Butter Naan,Cloudy,Dinner,49
Garlic Naan,Cloudy,Dinner,59
Chapati,Cloudy,Dinner,31
Grilled Chicken,Cloudy,Dinner,250
Tandoori Chicken,Cloudy,Breakfast,263
Chicken Wings,Cloudy,Dinner,232
BBQ Platter,Cloudy,Dinner,429
Steak,Cloudy,Dinner,392
Soup,Cloudy,Dinner,112
Tomato Soup,Cloudy,Dinner,124
Chicken Corn Soup,Cloudy,Dinner,142
Hot & Sour Soup,Cloudy,Dinner,135
Cold Coffee,Cloudy,Lunch,126
Coffee,Cloudy,Breakfast,78
Cappuccino,Cloudy,Breakfast,106
Latte,Cloudy,Breakfast,123
Espresso,Cloudy,Breakfast,98
Tea,Cloudy,Breakfast,38
Milk Tea,Cloudy,Breakfast,47
Green Tea,Cloudy,Breakfast,61
Hot Chocolate,Cloudy,Breakfast,138
Lemonade,Cloudy,Lunch,89
Orange Juice,Cloudy,Breakfast,100
Mango Juice,Cloudy,Lunch,106
Apple Juice,Cloudy,Lunch,112
Watermelon Juice,Cloudy,Lunch,101
Milkshake,Cloudy,Dinner,146
Chocolate Milkshake,Cloudy,Dinner,166
Vanilla Milkshake,Cloudy,Dinner,156
Faluda,Cloudy,Dinner,156
Ice Cream,Cloudy,Dinner,107
Brownie,Cloudy,Dinner,138
Cheesecake,Cloudy,Dinner,186
Chocolate Cake,Cloudy,Dinner,166
Red Velvet Cake,Cloudy,Dinner,189
Donut,Cloudy,Breakfast,64
Muffin,Cloudy,Breakfast,72
Paratha & Egg,Cold,Breakfast,93
French Toast,Cold,Breakfast,118
Pancakes,Cold,Breakfast,153
Waffles,Cold,Breakfast,162
Omelette,Cold,Breakfast,101
Scrambled Eggs,Cold,Breakfast,98
Boiled Egg Set,Cold,Breakfast,78
Porridge,Cold,Breakfast,94
Fruit Bowl,Cold,Breakfast,134
Yogurt Parfait,Cold,Breakfast,133
Toast & Jam,Cold,Breakfast,72
Butter Toast,Cold,Breakfast,68
Croissant,Cold,Breakfast,96
Breakfast Burrito,Cold,Breakfast,166
Hash Browns,Cold,Breakfast,82
Samosa,Cold,Breakfast,30
Singara,Cold,Breakfast,25
Vegetable Roll,Cold,Breakfast,38
Chicken Sandwich,Cold,Lunch,156
Club Sandwich,Cold,Lunch,169
Grilled Cheese Sandwich,Cold,Lunch,137
Chicken Burger,Cold,Dinner,175
Beef Burger,Cold,Lunch,200
Veg Burger,Cold,Lunch,138
Chicken Shawarma,Cold,Lunch,168
Beef Shawarma,Cold,Lunch,191
Chicken Wrap,Cold,Lunch,162
Caesar Salad,Cold,Lunch,185
Greek Salad,Cold,Dinner,194
Chicken Caesar Salad,Cold,Lunch,230
Fried Rice,Cold,Lunch,194
Chicken Fried Rice,Cold,Lunch,224
Egg Fried Rice,Cold,Lunch,184
Vegetable Fried Rice,Cold,Lunch,175
Noodles,Cold,Lunch,174
Chicken Noodles,Cold,Lunch,206
Vegetable Noodles,Cold,Dinner,172
Pasta Alfredo,Cold,Lunch,230
Spicy Pasta,Cold,Lunch,228
Mac & Cheese,Cold,Lunch,215
Chicken Pizza,Cold,Dinner,283
Beef Pizza,Cold,Lunch,305
Veg Pizza,Cold,Dinner,254
Margherita Pizza,Cold,Dinner,262
BBQ Chicken Pizza,Cold,Dinner,315
Beef Biryani,Cold,Dinner,233
Chicken Biryani,Cold,Dinner,221
Kacchi Biryani,Cold,Dinner,300
Tehari,Cold,Dinner,183
Khichuri,Cold,Dinner,176
Mutton Curry,Cold,Dinner,282
Chicken Curry,Cold,Dinner,204
Beef Curry,Cold,Dinner,229
Fish Curry,Cold,Dinner,208
Dal,Cold,Dinner,110
Mixed Vegetables,Cold,Dinner,133
Butter Naan,Cold,Dinner,59
Garlic Naan,Cold,Dinner,60
Chapati,Cold,Dinner,38
Grilled Chicken,Cold,Dinner,265
Tandoori Chicken,Cold,Dinner,273
Chicken Wings,Cold,Dinner,238
BBQ Platter,Cold,Dinner,437
Steak,Cold,Dinner,403
Soup,Cold,Dinner,122
Tomato Soup,Cold,Dinner,138
Chicken Corn Soup,Cold,Dinner,163
Hot & Sour Soup,Cold,Dinner,151
Cold Coffee,Cold,Lunch,128
Coffee,Cold,Breakfast,86
Cappuccino,Cold,Breakfast,127
Latte,Cold,Breakfast,140
Espresso,Cold,Breakfast,108
Tea,Cold,Lunch,60
Milk Tea,Cold,Breakfast,59
Green Tea,Cold,Breakfast,73
Hot Chocolate,Cold,Breakfast,140
Lemonade,Cold,Lunch,98
Orange Juice,Cold,Breakfast,104
Mango Juice,Cold,Lunch,113
Apple Juice,Cold,Lunch,114
Watermelon Juice,Cold,Lunch,110
Milkshake,Cold,Dinner,159
Chocolate Milkshake,Cold,Dinner,164
Vanilla Milkshake,Cold,Dinner,163
Faluda,Cold,Dinner,164
Ice Cream,Cold,Dinner,103
Brownie,Cold,Dinner,138
Cheesecake,Cold,Dinner,205
Chocolate Cake,Cold,Dinner,178
Red Velvet Cake,Cold,Dinner,199
Donut,Cold,Breakfast,73
Muffin,Cold,Breakfast,79
Paratha & Egg,Hot,Breakfast,80
French Toast,Hot,Breakfast,108
Pancakes,Hot,Breakfast,141
Waffles,Hot,Breakfast,140
Omelette,Hot,Breakfast,88
Scrambled Eggs,Hot,Breakfast,93
Boiled Egg Set,Hot,Breakfast,65
Porridge,Hot,Breakfast,78
Fruit Bowl,Hot,Breakfast,121
Yogurt Parfait,Hot,Breakfast,133
Toast & Jam,Hot,Breakfast,57
Butter Toast,Hot,Breakfast,54
Croissant,Hot,Breakfast,88
Breakfast Burrito,Hot,Breakfast,159
Hash Browns,Hot,Breakfast,72
Samosa,Hot,Breakfast,17
Singara,Hot,Breakfast,15
Vegetable Roll,Hot,Breakfast,28
Chicken Sandwich,Hot,Lunch,143
Club Sandwich,Hot,Lunch,153
Grilled Cheese Sandwich,Hot,Lunch,118
Chicken Burger,Hot,Lunch,150
Beef Burger,Hot,Lunch,182
Veg Burger,Hot,Lunch,128
Chicken Shawarma,Hot,Lunch,163
Beef Shawarma,Hot,Lunch,181
Chicken Wrap,Hot,Lunch,145
Caesar Salad,Hot,Lunch,176
Greek Salad,Hot,Lunch,181
Chicken Caesar Salad,Hot,Lunch,212
Fried Rice,Hot,Lunch,177
Chicken Fried Rice,Hot,Lunch,212
Egg Fried Rice,Hot,Lunch,175
Vegetable Fried Rice,Hot,Lunch,161
Noodles,Hot,Lunch,160
Chicken Noodles,Hot,Lunch,197
Vegetable Noodles,Hot,Lunch,148
Pasta Alfredo,Hot,Lunch,221
Spicy Pasta,Hot,Lunch,209
Mac & Cheese,Hot,Lunch,195
Chicken Pizza,Hot,Dinner,260
Beef Pizza,Hot,Dinner,295
Veg Pizza,Hot,Dinner,240
Margherita Pizza,Hot,Dinner,243
BBQ Chicken Pizza,Hot,Dinner,304
Beef Biryani,Hot,Dinner,231
Chicken Biryani,Hot,Dinner,212
Kacchi Biryani,Hot,Dinner,283
Tehari,Hot,Dinner,179
Khichuri,Hot,Dinner,156
Mutton Curry,Hot,Breakfast,262
Chicken Curry,Hot,Dinner,202
Beef Curry,Hot,Dinner,222
Fish Curry,Hot,Dinner,195
Dal,Hot,Dinner,101
Mixed Vegetables,Hot,Dinner,118
Butter Naan,Hot,Dinner,36
Garlic Naan,Hot,Dinner,47
Chapati,Hot,Dinner,21
Grilled Chicken,Hot,Dinner,243
Tandoori Chicken,Hot,Dinner,260
Chicken Wings,Hot,Dinner,226
BBQ Platter,Hot,Dinner,421
Steak,Hot,Dinner,380
Soup,Hot,Dinner,110
Tomato Soup,Hot,Dinner,111
Chicken Corn Soup,Hot,Dinner,133
Hot & Sour Soup,Hot,Dinner,137
Cold Coffee,Hot,Lunch,128
Coffee,Hot,Breakfast,60
Cappuccino,Hot,Breakfast,112
Latte,Hot,Breakfast,111
Espresso,Hot,Breakfast,87
Tea,Hot,Breakfast,37
Milk Tea,Hot,Breakfast,52
Green Tea,Hot,Breakfast,60
Hot Chocolate,Hot,Breakfast,130
Lemonade,Hot,Lunch,84
Orange Juice,Hot,Breakfast,100
Mango Juice,Hot,Breakfast,110
Apple Juice,Hot,Lunch,105
Watermelon Juice,Hot,Lunch,89
Milkshake,Hot,Dinner,156
Chocolate Milkshake,Hot,Dinner,160
Vanilla Milkshake,Hot,Dinner,160
Faluda,Hot,Dinner,159
Ice Cream,Hot,Dinner,101
Brownie,Hot,Dinner,127
Cheesecake,Hot,Dinner,180
Chocolate Cake,Hot,Dinner,172
Red Velvet Cake,Hot,Dinner,178
Donut,Hot,Breakfast,61
Muffin,Hot,Breakfast,67
Paratha & Egg,Sunny,Breakfast,86
French Toast,Sunny,Breakfast,108
Pancakes,Sunny,Breakfast,141
Waffles,Sunny,Breakfast,150
Omelette,Sunny,Breakfast,88
Scrambled Eggs,Sunny,Breakfast,89
Boiled Egg Set,Sunny,Breakfast,64
Porridge,Sunny,Dinner,96
Fruit Bowl,Sunny,Breakfast,125
